City,State,Latitude,Longitude
Albany,NY,42.6526,-73.7562
Albuquerque,NM,35.0845,-106.6511
Amarillo,TX,35.2220,-101.8313
Anchorage,AK,61.2181,-149.9003
Atlanta,GA,33.7490,-84.3880
Austin,TX,30.2672,-97.7431
Baker,OR,44.7800,-117.8300
Baltimore,MD,39.2904,-76.6122
Bangor,ME,44.7988,-68.7726
Birmingham,AL,33.5207,-86.8025
Bismarck,ND,46.8083,-100.7837
Boise,ID,43.6135,-116.2035
Boston,MA,42.3584,-71.0598
Buffalo,NY,42.8865,-78.8784
Carlsbad,NM,32.4207,-104.2288
Charleston,SC,32.7763,-79.9327
Charleston,WV,38.3498,-81.6326
Charlotte,NC,35.2271,-80.8431
Cheyenne,WY,41.1400,-104.8203
Chicago,IL,41.8500,-87.6500
Cincinnati,OH,39.1271,-84.5144
Cleveland,OH,41.4995,-81.6954
Columbia,SC,34.0007,-81.0348
Columbus,OH,39.9612,-82.9988
Dallas,TX,32.7831,-96.8067
Denver,CO,39.7392,-104.9847
Des Moines,IA,41.6005,-93.6091
Detroit,MI,42.3314,-83.0457
Dubuque,IA,42.5006,-90.6646
Duluth,MN,46.7833,-92.1066
Eastport,ME,44.9000,-67.0000
El Centro,CA,32.7920,-115.5631
El Paso,TX,31.7587,-106.4869
Eugene,OR,44.0521,-123.0867
Fargo,ND,46.8772,-96.7898
Flagstaff,AZ,35.1981,-111.6513
Fort Worth,TX,32.7254,-97.3208
Fresno,CA,36.7477,-119.7724
Grand Junction,CO,39.0639,-108.5507
Grand Rapids,MI,42.9634,-85.6681
Havre,MT,48.5500,-109.7200
Helena,MT,46.5927,-112.0361
Honolulu,HI,21.3069,-157.8583
Hot Springs,AR,34.5037,-93.0552
Houston,TX,29.7633,-95.3633
Idaho Falls,ID,43.4666,-112.0341
Indianapolis,IN,39.7684,-86.1580
Jackson,MS,32.2988,-90.1848
Jacksonville,FL,30.3322,-81.6556
Juneau,AK,58.3019,-134.4197
Kansas City,MO,39.0997,-94.5786
Key West,FL,24.5552,-81.7816
Knoxville,TN,35.9606,-83.9207
Las Vegas,NV,36.1750,-115.1372
Lewiston,ID,46.4166,-117.0177
Lincoln,NE,40.8000,-96.6670
Long Beach,CA,33.7670,-118.1892
Los Angeles,CA,34.0522,-118.2437
Louisville,KY,38.2542,-85.7594
Manchester,NH,42.9956,-71.4548
Memphis,TN,35.1495,-90.0490
Miami,FL,25.7743,-80.1937
Milwaukee,WI,43.0389,-87.9065
Minneapolis,MN,44.9800,-93.2638
Mobile,AL,30.6944,-88.0430
Montgomery,AL,32.3668,-86.3000
Montpelier,VT,44.2500,-72.5300
Nashville,TN,36.1659,-86.7844
Newark,NJ,40.7357,-74.1724
New Orleans,LA,29.9547,-90.0751
New York,NY,40.7143,-74.0060
Nome,AK,64.4200,-165.5000
Oakland,CA,37.8044,-122.2708
Oklahoma City,OK,35.4676,-97.5164
Omaha,NE,41.2563,-95.9404
Philadelphia,PA,39.9524,-75.1636
Phoenix,AZ,33.4484,-112.0740
Pierre,SD,44.3700,-100.3500
Pittsburgh,PA,40.4406,-79.9959
Portland,ME,43.6574,-70.2589
Portland,OR,45.5234,-122.6762
Providence,RI,41.8240,-71.4128
Raleigh,NC,35.7721,-78.6386
Reno,NV,39.5296,-119.8138
Richfield,UT,38.7700,-112.0800
Richmond,VA,37.5538,-77.4603
Roanoke,VA,37.2710,-79.9414
Sacramento,CA,38.5816,-121.4944
Savannah,GA,32.0835,-81.0998
Seattle,WA,47.6062,-122.3321
Shreveport,LA,32.5251,-93.7502
Sitka,AK,57.1700,-135.2500
Spokane,WA,47.6597,-117.4291
Springfield,IL,39.8017,-89.6437
Springfield,MA,42.1015,-72.5898
Springfield,MO,37.2153,-93.2982
Syracuse,NY,43.0481,-76.1474
Tampa,FL,27.9475,-82.4584
Toledo,OH,41.6639,-83.5552
Tulsa,OK,36.1540,-95.9928
Washington,DC,38.8951,-77.0364
Wichita,KS,37.6922,-97.3375
Wilmington,NC,34.2356,-77.9460
Aberdeen,WA,46.9754,-123.8157
Abington,MA,42.1048,-70.9453
Acton,MA,42.4851,-71.4328
Addison,IL,41.9317,-87.9890
Adelphi,MD,39.0032,-76.9719
Affton,MO,38.5506,-90.3332
Agoura Hills,CA,34.1364,-118.7745
Akron,OH,41.0814,-81.5190
Alabaster,AL,33.2443,-86.8164
Alamogordo,NM,32.8995,-105.9603
Albert Lea,MN,43.6480,-93.3683
Aldine,TX,29.9324,-95.3802
Alice,TX,27.7523,-98.0697
Alief,TX,29.7111,-95.5963
Aliso Viejo,CA,33.5650,-117.7271
Allen Park,MI,42.2575,-83.2110
Alliance,OH,40.9153,-81.1059
Aloha,OR,45.4943,-122.8671
Alpharetta,GA,34.0754,-84.2941
Alsip,IL,41.6689,-87.7387
Altamont,OR,42.2068,-121.7372
Altoona,IA,41.6442,-93.4647
Altus,OK,34.6381,-99.3340
Alum Rock,CA,37.3661,-121.8272
American Canyon,CA,38.1749,-122.2608
Americus,GA,32.0724,-84.2327
Ames,IA,42.0347,-93.6199
Anderson,SC,34.5034,-82.6501
Anniston,AL,33.6598,-85.8316
Anoka,MN,45.1977,-93.3872
Antelope,CA,38.7082,-121.3299
Antioch,CA,38.0049,-121.8058
Apopka,FL,28.6762,-81.5119
Apple Valley,CA,34.5008,-117.1859
Arcata,CA,40.8665,-124.0828
Arden-Arcade,CA,38.6025,-121.3785
Arlington,WA,48.1987,-122.1251
Arnold,MO,38.4328,-90.3776
Artesia,CA,33.8659,-118.0831
Arvin,CA,35.2091,-118.8284
Ashburn,VA,39.0437,-77.4875
Asheboro,NC,35.7079,-79.8136
Ashland,MA,42.2612,-71.4634
Ashwaubenon,WI,44.4822,-88.0701
Aspen Hill,MD,39.0795,-77.0730
Atascadero,CA,35.4894,-120.6707
Athens,OH,39.3292,-82.1013
Attleboro,MA,41.9445,-71.2856
Auburn,MA,42.1945,-71.8356
Auburn Hills,MI,42.6875,-83.2341
Auburndale,FL,28.0653,-81.7887
Aurora,IL,41.7606,-88.3201
Avon,IN,39.7628,-86.3997
Avon Lake,OH,41.5053,-82.0282
Avondale,AZ,33.4356,-112.3496
Azusa,CA,34.1336,-117.9076
Back Mountain,PA,41.3359,-75.9963
Bakersfield,CA,35.3733,-119.0187
Baldwin,PA,40.3381,-79.9789
Baldwin Park,CA,34.0853,-117.9609
Barstow Heights,CA,34.8697,-117.0562
